cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,25,19.8852264,0.019487351530314,2,232.359984295279,2,37.007,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,36,19.5253128,0.0097425576435126,2,242.325767739426,2,37.17677375,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,80,14.0366304,0.0584271589033279,2,216.274766591525,2,37.825,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,104,13.3667912,0.175248225834144,2,198.831793441189,2,38.041,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,153,13.1168512,0.214163435364836,2,197.929281297064,2,38.274,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,199,13.2268248,0.321209784735232,2,188.358335935719,2,38.359,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,251,13.3268008,0.340660824644013,2,180.549299267561,2,38.473,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,301,13.3667912,0.350385389170254,2,180.10871335504,2,38.497,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,350,13.3367984,0.389313044400803,2,179.668153553806,2,38.52,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,400,13.296808,0.33091633391606,2,181.405984720641,2,38.514,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,450,13.24682,0.379582759698782,2,181.842248495314,2,38.511,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,498,13.2068296,0.37958558350986,2,183.571583528832,2,38.512,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,597,13.1368464,0.360124478412282,2,188.342168809837,2,38.483,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,793,13.046868,0.36986252509788,2,190.516886865388,2,38.465,2,training
